"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"66",0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0,0
"67",1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0,0
"68",4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2,0
"69",0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,2
"70",8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0
"71",0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0
"72",5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,4
"73",14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0
"74",0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9,0
"75",0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,9
"76",10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0
"77",0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0
"78",1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0,0
"79",0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0,0
"80",0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0,0
"81",0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0,0
"82",0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0,0
"83",5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0,0
"84",0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0,0
"85",0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6,0
"86",9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1,6
"87",0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0,1
"88",0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0,0
"89",0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1,0
"90",0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0,1
"91",0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1,0
"92",0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0,1
"93",0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11,0
"94",4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0,11
"95",3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1,0
"96",2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4,1
"97",0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0,4
"98",0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8,0
"99",0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0,8
"100",1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5,0
"101",0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14,5
"102",0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0,14
"103",0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0,0
"104",6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10,0
"105",0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0,10
"106",21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1,0
"107",0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,1
"108",3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0
"109",3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0,0
"110",2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0,0
"111",0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5,0
"112",0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0,5
"113",0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0,0
"114",0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9,0
"115",0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0,9
"116",0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0,0
"118",11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0,0
"119",0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0,0
"120",0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0,0
"121",0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0,0
"122",0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4,0
"123",0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3,4
"124",17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2,3
"125",1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0,2
"126",0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0,0
"127",0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0,0
"128",7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1,0
"129",0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0,1
"130",0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0,0
"131",0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0,0
"132",0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6,0
"133",0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0,6
"134",0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21,0
"135",2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0,21
"136",0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3,0
"137",9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3,3
"138",0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2,3
"139",0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0,2
"140",0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0,0
"141",0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0,0
"142",0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0,0
"143",0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0,0
"144",0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0,0
"145",0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0,0
"146",1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11,0
"147",0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0,11
"148",0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0,0
"149",0,0,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,7,0,0,1,17,0,0,0,0
